Month,Title,Platform(s),Genre(s),Developer(s),Publisher(s)
FEBRUARY,4,Maglam Lord,"NS, PS4",Action role-playing,Felistella,PQube
FEBRUARY,7,Ziggurat 2,NS,"Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios
FEBRUARY,8,Death End Request 2,NS,"Role-playing, visual novel",Compile Heart,Idea Factory
FEBRUARY,8,OlliOlli World,"Win, NS, PS4, PS5, XBO, XSX",Sports,Roll7,Private Division
FEBRUARY,8,Sifu,"Win, PS4, PS5",Beat 'em up,Sloclap,Sloclap
FEBRUARY,9,Backbone,NS,Noir adventure,EggNut,Raw Fury
FEBRUARY,9,Cotton Guardian Force Saturn Tribute,Win,Shoot 'em up,City Connection,City Connection
FEBRUARY,9,Getsu Fūma Den: Undying Moon,NS,"Hack and slash, roguelite","GuruGuru, Konami",Konami
FEBRUARY,9,Unbound: Worlds Apart,"PS4, PS5",Puzzle platformer,Alien Pixel Studios,Alien Pixel Studios
FEBRUARY,10,Breakout: Recharged,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX, Atari VCS","Action, arcade","Adamvision Studios, SneakyBox",Atari
FEBRUARY,10,CrossfireX,"XBO, XSX",First-person shooter,"Remedy Entertainment, Smilegate",Smilegate
FEBRUARY,10,Edge of Eternity,"PS4, PS5, XBO, XSX",Role-playing,Midgar Studio,Dear Villagers
FEBRUARY,10,Heaven Burns Red,"iOS, Droid",Role-playing,"Key, WFS","Key, WFS"
FEBRUARY,10,Kingdom Hearts Integrum Masterpiece for Cloud,NS,Action role-playing,Square Enix,Square Enix
FEBRUARY,10,My Hero: Ultra Impact,"iOS, Droid",Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
FEBRUARY,10,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,NS,Adventure,Humongous Entertainment,UFO Interactive Games
FEBRUARY,10,Pajama Sam: No Need to Hide When It's Dark Outside,NS,Adventure,Humongous Entertainment,UFO Interactive Games
FEBRUARY,10,PowerSlave: Exhumed,"Win, NS, PS4, XBO",First-person shooter,"Nightdive Studios, Lobotomy Software","Nightdive Studios, Throwback Entertainment"
FEBRUARY,10,Putt-Putt Saves the Zoo,NS,Adventure,Humongous Entertainment,UFO Interactive Games
FEBRUARY,10,"Spy Fox in ""Dry Cereal""",NS,Adventure,Humongous Entertainment,UFO Interactive Games
FEBRUARY,11,Death End Request 2,NS,"Role-playing, visual novel",Compile Heart,Idea Factory
FEBRUARY,11,Lost Ark,Win,Massively multiplayer online role-playing,Smilegate,Amazon Games
FEBRUARY,11,Oddworld: Stranger's Wrath HD,"PS4, XBO",Action-adventure,Just Add Water,Just Add Water
FEBRUARY,11,Unbound: Worlds Apart,"XBO, XSX",Puzzle platformer,Alien Pixel Studios,Alien Pixel Studios
FEBRUARY,11,Ziggurat 2,"XBO, XSX","Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios
FEBRUARY,14,Heart of the Woods,"PS4, PS5",Visual novel,"Studio Élan, Ratalaika Games",Sekai Games
FEBRUARY,14,Infernax,"Win, NS, PS4, XBO, XSX",Action-adventure,Berzerk Studio,The Arcade Crew
FEBRUARY,14,River City Girls Zero,NS,Beat 'em up,WayForward,Arc System Works
FEBRUARY,15,Cyberpunk 2077,"PS5, XSX",Action role-playing,CD Projekt Red,CD Projekt
FEBRUARY,15,Dynasty Warriors 9: Empires,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Hack and slash,Omega Force,Koei Tecmo
FEBRUARY,15,Shadow Madness,Win,Role-playing,Crave,"Piko Interactive, Bleem!"
FEBRUARY,15,Star Wars: The Old Republic: Legacy of the Sith,Win,Massively multiplayer online role-playing,BioWare Austin,Electronic Arts
FEBRUARY,17,Assassin's Creed: The Ezio Collection,NS,Action-adventure,Virtuos,Ubisoft
FEBRUARY,17,Getsu Fūma Den: Undying Moon,Win,"Hack and slash, roguelite","GuruGuru, Konami",Konami
FEBRUARY,17,The King of Fighters XV,"Win, PS4, PS5, XSX",Fighting,SNK,SNK
FEBRUARY,17,Touken Ranbu Warriors,"Win, NS",Hack and slash,"Omega Force, Ruby Party",DMM Games
FEBRUARY,17,Total War: Warhammer III,"Win, Mac, Lin",Real-time strategy,Creative Assembly,Sega
FEBRUARY,17,Voice of Cards: The Forsaken Maiden,"Win, NS, PS4",Role-playing,Alim,Square Enix
FEBRUARY,18,Horizon Forbidden West,"PS4, PS5",Action role-playing,Guerrilla Games,Sony Interactive Entertainment
FEBRUARY,19,Puzzle & Dragons Nintendo Switch Edition,NS,"Puzzle, role-playing",GungHo Online Entertainment,GungHo Online Entertainment
FEBRUARY,22,Destiny 2: The Witch Queen,"Win, PS4, PS5, XBO, XSX, Stadia",First-person shooter,Bungie,Bungie
FEBRUARY,22,Monark,"Win, NS, PS4, PS5",Role-playing,Lancarse,NIS America
FEBRUARY,22,Monster Crown,"PS4, XBO",Role-playing,Aurum,Soedesco
FEBRUARY,22,Sol Cresta,"Win, NS, PS4",Shoot 'em up,PlatinumGames,PlatinumGames
FEBRUARY,23,Edge of Eternity,NS,Role-playing,Midgar Studio,Dear Villagers
FEBRUARY,23,Final Fantasy VI Pixel Remaster,"Win, iOS, Droid",Role-playing,Square Enix,Square Enix
FEBRUARY,23,Sam & Max: This Time It's Virtual!,PS4,Adventure,HappyGiant,Big Sugar
FEBRUARY,24,Atelier Sophie 2: The Alchemist of the Mysterious Dream,"Win, NS, PS4",Role-playing,Gust Co. Ltd.,Koei Tecmo
FEBRUARY,24,Assetto Corsa Competizione,"PS5, XSX",Racing,Kunos Simulazioni,505 Games
FEBRUARY,24,Chaos;Child,NS,Visual novel,Mages,Mages
FEBRUARY,24,Chaos;Head Noah,NS,Visual novel,Mages,Mages
FEBRUARY,24,Crystar,NS,Action role-playing,Gemdrops,FuRyu
FEBRUARY,24,Dusk Diver 2,"Win, NS,[c] PS4[c]","Action role-playing, hack and slash",WANIN Games,Justdan International
FEBRUARY,24,Edens Zero: Pocket Galaxy,"iOS, Droid","Role-playing, hack and slash",Konami,Konami
FEBRUARY,24,Martha is Dead,"Win, PS4, PS5, XBO, XSX",Psychological horror,LKA,Wired Productions
FEBRUARY,24,Never Alone: Arctic Edition,NS,Puzzle-platform,Upper One Games,E-line Media
FEBRUARY,24,Raiden IV x MIKADO remix,"PS4, PS5",Shoot 'em up,MOSS,MOSS
FEBRUARY,24,Roguebook,"PS4, PS5, XBO, XSX","Roguelike, deck-building",Abrakam Entertainment,Nacon
FEBRUARY,24,Taito Milestones,NS,Arcade,Hamster Corporation,Taito
FEBRUARY,25,Atelier Sophie 2: The Alchemist of the Mysterious Dream,"Win, NS, PS4",Role-playing,Gust Co. Ltd.,Koei Tecmo
FEBRUARY,25,Elden Ring,"Win, PS4, PS5, XBO, XSX",Action role-playing,FromSoftware,Bandai Namco Entertainment
FEBRUARY,25,Grid Legends,"Win, PS4, PS5, XBO, XSX",Racing,Codemasters,Electronic Arts
FEBRUARY,25,Monark,"NS, PS4, PS5",Role-playing,Lancarse,NIS America
FEBRUARY,25,Moto Roader MC,"NS, PS4, PS5, XBO, XSX",Racing,"Masaya Games, Shinyuden","Masaya Games, Ratalaika Games"
FEBRUARY,28,Guild Wars 2: End of Dragons,Win,Massively multiplayer online role-playing,ArenaNet,NCSoft
MARCH,1,Aperture Desk Job,"Win, Lin",Action,Valve,Valve
MARCH,1,Conan Chop Chop,"Win, NS, PS4, XBO","Action-adventure, roguelite",Mighty Kingdom,Funcom
MARCH,1,Dawn of the Monsters,Stadia,Beat 'em up,13AM Games,WayForward
MARCH,1,ELEX II,"Win, PS4, PS5, XBO, XSX",Action role-playing,Piranha Bytes,THQ Nordic
MARCH,1,Far: Changing Tides,"Win, NS, PS4, XBO",Adventure,Okomotive,Frontier
MARCH,1,Ghostwire: Tokyo - Prelude,PS4,Visual novel,Tango Gameworks,Bethesda Softworks
MARCH,1,Puzzle Quest 3,"Win, iOS, Droid","Puzzle, role-playing",Infinity Plus Two,505 Games
MARCH,1,Shadow Warrior 3,"Win, PS4, XBO",First-person shooter,Flying Wild Hog,Devolver Digital
MARCH,3,Babylon's Fall,"Win, PS4, PS5",Action role-playing,PlatinumGames,Square Enix
MARCH,4,Gran Turismo 7,"PS4, PS5",Racing,Polyphony Digital,Sony Interactive Entertainment
MARCH,4,Triangle Strategy,NS,Tactical role-playing,"Artdink, Netchubiyori",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Square EnixWW: Nintendo"
MARCH,8,Ghostwire: Tokyo - Prelude,Win,Visual novel,Tango Gameworks,Bethesda Softworks
MARCH,8,SpellForce 3 Reforced,"PS4, PS5, XBO, XSX","Real-time strategy, role-playing",Grimlore Games,THQ Nordic
MARCH,10,.hack//G.U. Last Recode,NS,Action role-playing,CyberConnect2,Bandai Namco Entertainment
MARCH,10,Century: Age of Ashes,XSX,"Aerial combat, third-person shooter",Playwing,Playwing
MARCH,10,Chocobo GP,NS,Kart racing,Square Enix,Square Enix
